c,rb,pl
https://data.naa.gov.au/def/agift/Constitutional-matters,https://data.naa.gov.au/def/agift/GOVERNANCE,Constitutional matters
https://data.naa.gov.au/def/agift/Constitutional-referenda,https://data.naa.gov.au/def/agift/Constitutional-matters,Constitutional referenda
https://data.naa.gov.au/def/agift/Consular-services,https://data.naa.gov.au/def/agift/INTERNATIONAL-RELATIONS,Consular services
https://data.naa.gov.au/def/agift/Consumer-protection,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Consumer protection
https://data.naa.gov.au/def/agift/Contract-management,https://data.naa.gov.au/def/agift/Resource-management,Contract management
https://data.naa.gov.au/def/agift/Conveyancing,https://data.naa.gov.au/def/agift/Civil-law,Conveyancing
https://data.naa.gov.au/def/agift/Copyright-regulation,https://data.naa.gov.au/def/agift/Administrative-law,Copyright regulation
https://data.naa.gov.au/def/agift/Coronial-law,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Coronial law
https://data.naa.gov.au/def/agift/Corrective-services,https://data.naa.gov.au/def/agift/SECURITY,Corrective services
https://data.naa.gov.au/def/agift/Corruption-prevention,https://data.naa.gov.au/def/agift/Public-administration,Corruption prevention
https://data.naa.gov.au/def/agift/Counselling-services,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Counselling services
https://data.naa.gov.au/def/agift/Counterfeiting-control,https://data.naa.gov.au/def/agift/Currency,Counterfeiting control
https://data.naa.gov.au/def/agift/Courier-services,https://data.naa.gov.au/def/agift/Postal-services,Courier services
https://data.naa.gov.au/def/agift/Court-reporting,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Court reporting
https://data.naa.gov.au/def/agift/Criminal-law,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Criminal law
https://data.naa.gov.au/def/agift/Criminology,https://data.naa.gov.au/def/agift/Law-enforcement,Criminology
https://data.naa.gov.au/def/agift/Cross-border-cooperation,https://data.naa.gov.au/def/agift/Intergovernmental-relations,Cross-border cooperation
https://data.naa.gov.au/def/agift/Crown-land-administration,https://data.naa.gov.au/def/agift/NATURAL-RESOURCES,Crown land administration
https://data.naa.gov.au/def/agift/Cultural-artefact-repatriation,https://data.naa.gov.au/def/agift/Indigenous-cultural-heritage,Cultural artefact repatriation
https://data.naa.gov.au/def/agift/Cultural-awards-and-scholarships--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Cultural awards and scholarships
https://data.naa.gov.au/def/agift/Cultural-centre-management,https://data.naa.gov.au/def/agift/Public-land-management,Cultural centre management
https://data.naa.gov.au/def/agift/Cultural-festivals--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Cultural festivals
https://data.naa.gov.au/def/agift/Cultural-gifts-programs--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Cultural gifts programs
https://data.naa.gov.au/def/agift/Currency,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Currency
https://data.naa.gov.au/def/agift/Curriculum-development,https://data.naa.gov.au/def/agift/EDUCATION-AND-TRAINING,Curriculum development
https://data.naa.gov.au/def/agift/Cybersafety,https://data.naa.gov.au/def/agift/Internet,Cybersafety
https://data.naa.gov.au/def/agift/DEFENCE,,DEFENCE
https://data.naa.gov.au/def/agift/Data-management,https://data.naa.gov.au/def/agift/Information-management-standards,Data management
https://data.naa.gov.au/def/agift/Declaration-of-interests,https://data.naa.gov.au/def/agift/Electoral-matters,Declaration of interests
https://data.naa.gov.au/def/agift/Defence-attaches,https://data.naa.gov.au/def/agift/Defence-liaison,Defence attaches
https://data.naa.gov.au/def/agift/Defence-career-development,https://data.naa.gov.au/def/agift/Defence-force-careers,Defence career development
https://data.naa.gov.au/def/agift/Defence-college-training,https://data.naa.gov.au/def/agift/Military-education-and-training,Defence college training
https://data.naa.gov.au/def/agift/Defence-community-programs,https://data.naa.gov.au/def/agift/Community-support,Defence community programs
https://data.naa.gov.au/def/agift/Defence-cooperation-programs,https://data.naa.gov.au/def/agift/Defence-liaison,Defence cooperation programs
https://data.naa.gov.au/def/agift/Defence-efficiency-review,https://data.naa.gov.au/def/agift/Defence-strategic-development,Defence efficiency review
https://data.naa.gov.au/def/agift/Defence-estate-management,https://data.naa.gov.au/def/agift/DEFENCE,Defence estate management
https://data.naa.gov.au/def/agift/Defence-force-careers,https://data.naa.gov.au/def/agift/DEFENCE,Defence force careers
https://data.naa.gov.au/def/agift/Defence-force-commands,https://data.naa.gov.au/def/agift/Australian-Defence-Forces,Defence force commands
https://data.naa.gov.au/def/agift/Defence-housing,https://data.naa.gov.au/def/agift/Accommodation-services,Defence housing
https://data.naa.gov.au/def/agift/Defence-industry,https://data.naa.gov.au/def/agift/Defence-strategic-support,Defence industry
https://data.naa.gov.au/def/agift/Defence-liaison,https://data.naa.gov.au/def/agift/INTERNATIONAL-RELATIONS,Defence liaison
https://data.naa.gov.au/def/agift/Defence-personnel-exchanges,https://data.naa.gov.au/def/agift/Defence-liaison,Defence personnel exchanges
https://data.naa.gov.au/def/agift/Defence-reform-program,https://data.naa.gov.au/def/agift/Defence-strategic-development,Defence reform program
https://data.naa.gov.au/def/agift/Defence-science-and-technology,https://data.naa.gov.au/def/agift/Defence-strategic-support,Defence science and technology
https://data.naa.gov.au/def/agift/Defence-strategic-development,https://data.naa.gov.au/def/agift/DEFENCE,Defence strategic development
https://data.naa.gov.au/def/agift/Defence-strategic-policy,https://data.naa.gov.au/def/agift/DEFENCE,Defence strategic policy
https://data.naa.gov.au/def/agift/Defence-strategic-support,https://data.naa.gov.au/def/agift/DEFENCE,Defence strategic support
https://data.naa.gov.au/def/agift/Dental-health-services,https://data.naa.gov.au/def/agift/Special-needs-services,Dental health services
https://data.naa.gov.au/def/agift/Deportation,https://data.naa.gov.au/def/agift/IMMIGRATION,Deportation
https://data.naa.gov.au/def/agift/Descriptive-standards--,https://data.naa.gov.au/def/agift/Collection-access--,Descriptive standards
https://data.naa.gov.au/def/agift/Design-rights-management,https://data.naa.gov.au/def/agift/Intellectual-property-management,Design rights management
https://data.naa.gov.au/def/agift/Detention-centre-management,https://data.naa.gov.au/def/agift/Corrective-services,Detention centre management
https://data.naa.gov.au/def/agift/Detention-programs,https://data.naa.gov.au/def/agift/IMMIGRATION,Detention programs
https://data.naa.gov.au/def/agift/Development-assistance-programs,https://data.naa.gov.au/def/agift/Overseas-aid-programs,Development assistance programs
https://data.naa.gov.au/def/agift/Diplomatic-missions,https://data.naa.gov.au/def/agift/INTERNATIONAL-RELATIONS,Diplomatic missions
https://data.naa.gov.au/def/agift/Disarmament-and-arms-control,https://data.naa.gov.au/def/agift/International-affairs,Disarmament and arms control
https://data.naa.gov.au/def/agift/Disaster-recovery,https://data.naa.gov.au/def/agift/Natural-disasters,Disaster recovery
https://data.naa.gov.au/def/agift/Disaster-relief,https://data.naa.gov.au/def/agift/Natural-disasters,Disaster relief
https://data.naa.gov.au/def/agift/Disaster-support,https://data.naa.gov.au/def/agift/Emergency-management,Disaster support
https://data.naa.gov.au/def/agift/Discipline-programs,https://data.naa.gov.au/def/agift/School-education,Discipline programs
https://data.naa.gov.au/def/agift/Dispute-mediation-programs,https://data.naa.gov.au/def/agift/Civil-law,Dispute mediation programs
https://data.naa.gov.au/def/agift/Doping-detection-research,https://data.naa.gov.au/def/agift/Sports-drugs-monitoring,Doping detection research
https://data.naa.gov.au/def/agift/Draft-Bill-amendment-process,https://data.naa.gov.au/def/agift/Legislative-drafting,Draft Bill amendment process
https://data.naa.gov.au/def/agift/Driving-licences-administration,https://data.naa.gov.au/def/agift/Road-transport,Driving licences administration
https://data.naa.gov.au/def/agift/Drugs-and-poisons-regulation,https://data.naa.gov.au/def/agift/Health-protocol-administration,Drugs and poisons regulation
