http://test.linked.data.gov.au/def/crs-th/campaigns,http://test.linked.data.gov.au/def/crs-th/defence-forces,Campaigns
http://test.linked.data.gov.au/def/crs-th/canberra,,Canberra
http://test.linked.data.gov.au/def/crs-th/cartier-islands,http://test.linked.data.gov.au/def/crs-th/territory-administration,Cartier Islands
http://test.linked.data.gov.au/def/crs-th/catering,http://test.linked.data.gov.au/def/crs-th/government-accommodation-and-catering,Catering
http://test.linked.data.gov.au/def/crs-th/celebrations,http://test.linked.data.gov.au/def/crs-th/national-events,Celebrations
http://test.linked.data.gov.au/def/crs-th/censorship,,Censorship
http://test.linked.data.gov.au/def/crs-th/census,http://test.linked.data.gov.au/def/crs-th/social-and-economic-research,Census
http://test.linked.data.gov.au/def/crs-th/ceremonial-functions,,Ceremonial Functions
http://test.linked.data.gov.au/def/crs-th/chemical-analysis,http://test.linked.data.gov.au/def/crs-th/analytical-services,Chemical Analysis
http://test.linked.data.gov.au/def/crs-th/chemical-warfare-experiments,http://test.linked.data.gov.au/def/crs-th/defence-research,Chemical Warfare Experiments
http://test.linked.data.gov.au/def/crs-th/child-endowment,http://test.linked.data.gov.au/def/crs-th/pensions-and-benefits,Child Endowment
http://test.linked.data.gov.au/def/crs-th/child-welfare,,Child Welfare
http://test.linked.data.gov.au/def/crs-th/christmas-island,http://test.linked.data.gov.au/def/crs-th/territory-administration,Christmas Island
http://test.linked.data.gov.au/def/crs-th/citizenship,,Citizenship
http://test.linked.data.gov.au/def/crs-th/civil-aviation,http://test.linked.data.gov.au/def/crs-th/air-transport,Civil Aviation
http://test.linked.data.gov.au/def/crs-th/civil-defences,http://test.linked.data.gov.au/def/crs-th/defence-forces,Civil Defences
http://test.linked.data.gov.au/def/crs-th/civil-engineering,,Civil Engineering
http://test.linked.data.gov.au/def/crs-th/civil-liberties,http://test.linked.data.gov.au/def/crs-th/human-rights,Civil Liberties
http://test.linked.data.gov.au/def/crs-th/civil-rights,http://test.linked.data.gov.au/def/crs-th/human-rights,Civil Rights
http://test.linked.data.gov.au/def/crs-th/clinics,http://test.linked.data.gov.au/def/crs-th/hospitals-and-clinics,Clinics
http://test.linked.data.gov.au/def/crs-th/clothing,http://test.linked.data.gov.au/def/crs-th/defence-industries,Clothing
http://test.linked.data.gov.au/def/crs-th/coal,http://test.linked.data.gov.au/def/crs-th/energy,Coal
http://test.linked.data.gov.au/def/crs-th/coastal-defences,http://test.linked.data.gov.au/def/crs-th/defence-forces,Coastal Defences
http://test.linked.data.gov.au/def/crs-th/coastal-surveillance,,Coastal Surveillance
http://test.linked.data.gov.au/def/crs-th/coastwatchers,http://test.linked.data.gov.au/def/crs-th/defence-intelligence,Coastwatchers
http://test.linked.data.gov.au/def/crs-th/cocos-keeling-islands,http://test.linked.data.gov.au/def/crs-th/territory-administration,Cocos (Keeling) Islands
http://test.linked.data.gov.au/def/crs-th/cocos-island,http://test.linked.data.gov.au/def/crs-th/territory-administration,Cocos Island
http://test.linked.data.gov.au/def/crs-th/coinage,http://test.linked.data.gov.au/def/crs-th/currency,Coinage
